,,,,,,
,Line ID,Script,Length,,,
,161,Anukulah Shatavartah Padmi Padma-Nibhekshanah,45,,,
,162,Padmanabho Aravindakshah Padmagarbhah Sarirabhrut,49,,,
,163,Mahardhir Ruddho Vruddhatma Mahaksho Garuda-Dhvajah,51,,,
,164,Atulah Sarabho Bhimah Samayagno Havirharih,42,,,
,165,Sarvalakshana Lakshanyo Lakshmivan Samitinjayah,47,,,
,166,Viksharo Rohito Margo Hetur-Damodarah Sahah,43,,,
,167,Mahidharo Mahabhago Vegavan Amitashanah,39,,,
,168,Udbhavah Kshobhano Devan Shrigarbhah Parameshvarah,50,,,
,169,Karanam Kaaranam Karta Vikarta Gahano Guhah,43,,,
,170,Vyavasayo Vyavasthanah Samsthanah Sthanado Dhruvah,50,,,
,171,Parardhih Parama-Spashtas Tushtah Pushtah Subhekshanah,54,,,
,172,Ramo Viramo Virato Margo Neyo Nayonayah,39,,,
,173,Virah Shaktimatam Shreshtho Dharmo Dharma-Vid Uttamah,53,,,
,174,Vaikunthah Purushah Pranah Pranadah Pranavah Pruthuh,52,,,
,175,Hiranya-Garbhah Shatrughno Vyapto Vayur Adhokshajah,51,,,
,176,Rituh Sudarshanah Kalah Parameshti Parigrahah,45,,,
,177,Ugrah Samvatsaro Daksho Vishramo Vishva-Dakshinah,49,,,
,178,Vistarah Sthavara-Sthanuh Pramanam Bijam Avyayam,48,,,
,179,Arthonartho Mahakosho Mahabhogo Mahadhanah,42,,,
,180,Anirvinnah Sthavishthobhur Dharma-Yupo Maha-Makhah,50,,,
,181,Nakshatra-Nemir Nakshatri Kshamah Kshamah Samihanah,51,,,
,182,Yajna Ijyo Mahejyas Cha Kratuh Satram Satamgatih,48,,,
,183,Sarvadarshi Vimuktatma Sarvagyo Gynanam-Uttamam,47,,,
,184,Suvratah Sumukhah Sukshmah Sughoshah Sukhadah Suhrut,52,,,
,185,Manoharo Jita-Krodho Virabahur Vidaranah,40,,,
